Date,Open,High,Low,Close,Adj Close,Volume
2013-08-26,6.230000,6.235000,6.160000,6.220000,5.264922,1193322
2013-08-27,6.165000,6.180000,6.005000,6.005000,5.082936,2304057
2013-08-28,6.000000,6.000000,5.842000,5.880000,4.977129,3056551
2013-08-29,5.931000,6.080000,5.905000,6.068000,5.136262,2249816
2013-08-30,6.062000,6.078000,5.970000,5.980000,5.061775,2249444
2013-09-02,6.026000,6.138000,6.026000,6.118000,5.178585,2372042
2013-09-03,6.103000,6.129000,6.020000,6.060000,5.129490,2614460
2013-09-04,6.060000,6.104000,5.974000,6.088000,5.153191,1946804
2013-09-05,6.110000,6.150000,6.080000,6.150000,5.205671,3230285
2013-09-06,6.151000,6.202000,6.117000,6.202000,5.249687,3288387
2013-09-09,6.200000,6.247000,6.168000,6.213000,5.258997,2994978
2013-09-10,6.248000,6.390000,6.241000,6.307000,5.338564,3640477
2013-09-11,6.287000,6.345000,6.276000,6.330000,5.358032,2579194
2013-09-12,6.330000,6.450000,6.330000,6.444000,5.454527,2593422
2013-09-13,6.426000,6.447000,6.316000,6.341000,5.367343,3273903
2013-09-16,6.400000,6.480000,6.380000,6.400000,5.417284,2234029
2013-09-17,6.382000,6.439000,6.369000,6.412000,5.427442,3276548
2013-09-18,6.475000,6.674000,6.450000,6.550000,5.544251,4591839
2013-09-19,6.650000,6.789000,6.590000,6.648000,5.627203,7091685
2013-09-20,6.648000,6.750000,6.648000,6.684000,5.657676,2487696
2013-09-23,6.711000,6.723000,6.570000,6.603000,5.589114,2287731
2013-09-24,6.601000,6.735000,6.601000,6.636000,5.617046,3363885
2013-09-25,6.646000,6.646000,6.300000,6.500000,5.501929,5745261
2013-09-26,6.505000,6.577000,6.375000,6.450000,5.459606,4385584
2013-09-27,6.482000,6.490000,6.362000,6.427000,5.440137,1769747
2013-09-30,6.350000,6.462000,6.262000,6.409000,5.424902,2810511
2013-10-01,6.310000,6.394000,6.281000,6.391000,5.409665,4149224
2013-10-02,6.391000,6.430000,6.310000,6.400000,5.417284,3437172
2013-10-03,6.427000,6.577000,6.425000,6.491000,5.494311,2838376
2013-10-04,6.490000,6.500000,6.399000,6.490000,5.493464,3124642
2013-10-07,6.455000,6.474000,6.364000,6.460000,5.468071,3057901
2013-10-08,6.464000,6.499000,6.380000,6.389000,5.407972,5936927
2013-10-09,6.369000,6.495000,6.369000,6.415000,5.429980,2559512
2013-10-10,6.447000,6.501000,6.341000,6.455000,5.463839,6046374
2013-10-11,6.500000,6.500000,6.400000,6.490000,5.493464,2451966
2013-10-14,6.480000,6.607000,6.402000,6.600000,5.586574,6358549
2013-10-15,6.640000,6.858000,6.617000,6.814000,5.767714,6387237
2013-10-16,6.750000,6.858000,6.700000,6.848000,5.796494,4536919
2013-10-17,6.846000,6.990000,6.786000,6.855000,5.802419,4309353
2013-10-18,6.869000,6.965000,6.865000,6.951000,5.883678,8149806
2013-10-21,6.980000,6.996000,6.932000,6.990000,5.916690,2220793
2013-10-22,6.975000,7.024000,6.884000,6.908000,5.847281,4157369
2013-10-23,6.881000,6.940000,6.791000,6.880000,5.823580,2477742
2013-10-24,6.878000,6.960000,6.878000,6.919000,5.856592,1599008
2013-10-25,6.899000,6.918000,6.592000,6.743000,5.707616,5094725
2013-10-28,6.790000,6.952000,6.727000,6.929000,5.865057,3148113
2013-10-29,6.805000,6.880000,6.775000,6.799000,5.755017,5135955
2013-10-30,6.796000,6.810000,6.627000,6.630000,5.611968,3876664
2013-10-31,6.620000,6.733000,6.599000,6.733000,5.699151,3804314
2013-11-01,6.737000,6.740000,6.650000,6.684000,5.657676,1510588
2013-11-04,6.721000,6.750000,6.686000,6.700000,5.671219,5776059
2013-11-05,6.701000,6.720000,6.559000,6.600000,5.586574,5738155
2013-11-06,6.624000,6.734000,6.620000,6.656000,5.633975,2293926
2013-11-07,6.656000,6.745000,6.470000,6.478000,5.483307,5179662
2013-11-08,6.472000,6.586000,6.430000,6.520000,5.518858,3854759
2013-11-11,6.526000,6.542000,6.430000,6.499000,5.501082,2666529
2013-11-12,6.510000,6.539000,6.462000,6.491000,5.494311,4039920
2013-11-13,6.486000,6.535000,6.405000,6.420000,5.434213,2029368
2013-11-14,6.487000,6.540000,6.420000,6.422000,5.435906,2770155
2013-11-15,6.420000,6.490000,6.392000,6.436000,5.447756,1970818
2013-11-18,6.420000,6.568000,6.400000,6.491000,5.494311,2510136
2013-11-19,6.491000,6.560000,6.485000,6.519000,5.518011,3291711
2013-11-20,6.533000,6.547000,6.476000,6.501000,5.502775,4520608
2013-11-21,6.474000,6.588000,6.417000,6.578000,5.567952,4349461
2013-11-22,6.594000,6.664000,6.551000,6.644000,5.623817,3554250
2013-11-25,6.680000,6.733000,6.675000,6.705000,5.675451,5274714
2013-11-26,6.694000,6.740000,6.683000,6.700000,5.671219,3855160
2013-11-27,6.703000,6.745000,6.670000,6.724000,5.691534,1920370
2013-11-28,6.740000,6.795000,6.711000,6.780000,5.738935,2514486
2013-11-29,6.759000,6.810000,6.730000,6.749000,5.712695,1478612
2013-12-02,6.749000,6.758000,6.501000,6.613000,5.597578,3094212
2013-12-03,6.614000,6.641000,6.531000,6.557000,5.550177,4099322
2013-12-04,6.571000,6.571000,6.391000,6.443000,5.453681,3673065
2013-12-05,6.442000,6.505000,6.350000,6.383000,5.402894,3128624
2013-12-06,6.378000,6.405000,6.230000,6.320000,5.349568,2659081
2013-12-09,6.317000,6.370000,6.251000,6.287000,5.321635,3725352
2013-12-10,6.290000,6.329000,6.172000,6.234000,5.276773,3424639
2013-12-11,6.250000,6.293000,6.220000,6.250000,5.290317,4096003
2013-12-12,6.220000,6.239000,6.150000,6.168000,5.220908,2267440
2013-12-13,6.146000,6.269000,6.118000,6.143000,5.199746,3646170
2013-12-16,6.235000,6.409000,6.218000,6.319000,5.348721,5129866
2013-12-17,6.310000,6.310000,6.156000,6.164000,5.217522,4473108
2013-12-18,6.170000,6.245000,6.153000,6.177000,5.228525,4162730
2013-12-19,6.235000,6.389000,6.231000,6.367000,5.389350,5345740
2013-12-20,6.403000,6.460000,6.311000,6.383000,5.402894,6237534
2013-12-23,6.410000,6.412000,6.330000,6.399000,5.416438,2440803
2013-12-24,6.410000,6.560000,6.410000,6.510000,5.510394,1086098
2013-12-27,6.500000,6.525000,6.450000,6.492000,5.495157,1811834
2013-12-30,6.500000,6.560000,6.494000,6.533000,5.529862,2009507
2013-12-31,6.530000,6.549000,6.471000,6.500000,5.501929,626471
2014-01-02,6.500000,6.552000,6.426000,6.426000,5.439291,2963153
2014-01-03,6.454000,6.509000,6.426000,6.450000,5.459606,1196162
2014-01-06,6.415000,6.500000,6.404000,6.473000,5.479075,1214969
2014-01-07,6.458000,6.589000,6.404000,6.579000,5.568799,4204792
2014-01-08,6.576000,6.623000,6.562000,6.611000,5.595885,2677594
2014-01-09,6.625000,6.709000,6.512000,6.595000,5.582341,4060935
2014-01-10,6.640000,6.645000,6.570000,6.574000,5.564566,1690400
2014-01-13,6.596000,6.619000,6.570000,6.575000,5.565413,2204314
2014-01-14,6.533000,6.633000,6.470000,6.633000,5.614507,2767397
2014-01-15,6.650000,6.670000,6.610000,6.652000,5.630589,3011142
2014-01-16,6.674000,6.674000,6.581000,6.612000,5.596731,3579849
2014-01-17,6.618000,6.678000,6.600000,6.678000,5.652597,2440443
2014-01-20,6.656000,6.692000,6.640000,6.692000,5.664447,1386761
2014-01-21,6.690000,6.710000,6.622000,6.646000,5.625510,4533333
2014-01-22,6.654000,6.658000,6.570000,6.600000,5.586574,3911426
2014-01-23,6.582000,6.659000,6.476000,6.476000,5.481614,4139315
2014-01-24,6.469000,6.480000,6.150000,6.193000,5.242068,11261064
2014-01-27,6.211000,6.310000,6.056000,6.286000,5.320788,6273206
2014-01-28,6.339000,6.348000,6.158000,6.183000,5.233604,7180055
2014-01-29,6.240000,6.383000,6.061000,6.153000,5.208210,5702907
2014-01-30,6.160000,6.205000,6.020000,6.185000,5.235297,6857035
2014-01-31,6.175000,6.205000,6.020000,6.104000,5.166734,6614206
2014-02-03,6.115000,6.164000,5.965000,5.994000,5.073625,3502294
2014-02-04,5.950000,6.040000,5.895000,6.015000,5.091401,4450227
2014-02-05,6.020000,6.038000,5.877000,5.907000,4.999984,4558372
2014-02-06,5.927000,5.980000,5.863000,5.979000,5.060928,5397710
2014-02-07,6.000000,6.116000,5.990000,6.096000,5.159963,6479522
2014-02-10,6.140000,6.180000,6.075000,6.128000,5.187049,4504720
2014-02-11,6.167000,6.175000,6.050000,6.126000,5.185357,4607004
2014-02-12,6.159000,6.169000,6.100000,6.119000,5.179431,2824152
2014-02-13,6.119000,6.119000,5.985000,6.069000,5.137108,4243575
2014-02-14,6.080000,6.180000,6.040000,6.180000,5.231065,2833272
2014-02-17,6.180000,6.220000,6.109000,6.109000,5.170967,1841311
2014-02-18,6.150000,6.166000,6.105000,6.135000,5.192975,3931348
2014-02-19,6.100000,6.170000,6.050000,6.140000,5.197207,2804089
